name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
Patadas de Ahogado / LATIN MAFIA - Rework,HUGEL,Patadas de Ahogado / LATIN MAFIA (Rework),2024-02-22,14S2VMZRhekYGluotZ4pqg,https://i.scdn.co/image/ab67616d0000b27315d68aedae3af57cc27a0426,VivaLatino,9,2024-03-08
A Tu Manera,"Junior H, Peso Pluma",A Tu Manera,2024-02-16,2500EpUpryOBJX0rO8fDuB,https://i.scdn.co/image/ab67616d0000b273f75bca7da8d60de3f04cdc7f,VivaLatino,10,2024-03-08
The One (Pero No Como Yo),"Carin Leon, Kane Brown",The One (Pero No Como Yo),2024-03-01,4sP0UhSgdEExt7KpcgWHFq,https://i.scdn.co/image/ab67616d0000b27333277dacf8de606a66160057,VivaLatino,14,2024-03-08
Lollipop - Remix,"Darell, Ozuna, Maluma",Lollipop (Remix),2024-02-15,1S2WWT5jW9J3MauQ7r7qN4,https://i.scdn.co/image/ab67616d0000b273d47a89d4d4a517886d45b5f6,VivaLatino,17,2024-03-08
Mamasota,"Manuel Turizo, Yandel",Mamasota,2024-02-22,2X8PYX9YX49hA0YeFnWTGZ,https://i.scdn.co/image/ab67616d0000b2730def7379d2d1676d22c68319,VivaLatino,18,2024-03-08
En Esta Boca,"Kany García, Young Miko",En Esta Boca,2024-02-22,3zKMajDXwhD68TnmMOnCPM,https://i.scdn.co/image/ab67616d0000b27389f41bae6b0fedc8a981c1d1,VivaLatino,27,2024-03-08
Quédate Bebé,Grupo Frontera,Quédate Bebé,2024-02-15,427yd0A6Tkq8p2RYP4NeVn,https://i.scdn.co/image/ab67616d0000b2732515f3adf39df633eaea1be2,VivaLatino,28,2024-03-08
Training Season,Dua Lipa,Training Season,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d,Workout,8,2024-03-08
Von dutch,Charli XCX,Von dutch,2024-02-29,01TnMXIy7mJJQ7E8uy937N,https://i.scdn.co/image/ab67616d0000b273c785c27da601350c05390d39,Mint,1,2024-03-08
stayinit,"Fred again.., Lil Yachty, Overmono",stayinit,2024-02-28,6WS2TcsMEGOFtveWbtbuwZ,https://i.scdn.co/image/ab67616d0000b2735ed4a44f611bee241a915e17,Mint,2,2024-03-08
Hard dreams,"Gesaffelstein, Yan Wagner",Hard dreams,2024-03-01,1sJAQWkZdaJDsPifl1fvOd,https://i.scdn.co/image/ab67616d0000b273ff150c335de3ac71a2ca424f,Mint,6,2024-03-08
Buscando Money,"TWENTY SIX, Tayson Kryss",Buscando Money,2024-02-23,6vsKOJPjdxlYgRs8McgtCQ,https://i.scdn.co/image/ab67616d0000b27304a5e9280739d24c9c127864,Mint,7,2024-03-08
